using device: cuda
total desired batch_size: 524288
=> calculated gradient accumulation steps: 128
validation loss: 10.9450
step   80 | loss: 7.519424 | lr: 6.7972e-05 norm: 1.0901 | dt: 26.76s | tok/sec: 19595.44
step   81 | loss: 7.496278 | lr: 6.8811e-05 norm: 1.3685 | dt: 26.75s | tok/sec: 19597.10
step   82 | loss: 7.416811 | lr: 6.9650e-05 norm: 1.5662 | dt: 26.78s | tok/sec: 19574.62
step   83 | loss: 7.367907 | lr: 7.0490e-05 norm: 1.5981 | dt: 26.75s | tok/sec: 19597.11
step   84 | loss: 7.304419 | lr: 7.1329e-05 norm: 1.2206 | dt: 26.75s | tok/sec: 19598.64
step   85 | loss: 7.335032 | lr: 7.2168e-05 norm: 1.1044 | dt: 26.76s | tok/sec: 19595.41
step   86 | loss: 7.366920 | lr: 7.3007e-05 norm: 1.2509 | dt: 26.75s | tok/sec: 19600.84
step   87 | loss: 7.296144 | lr: 7.3846e-05 norm: 1.1195 | dt: 26.78s | tok/sec: 19580.36
step   88 | loss: 7.214986 | lr: 7.4685e-05 norm: 2.3160 | dt: 26.78s | tok/sec: 19580.10
step   89 | loss: 7.242154 | lr: 7.5524e-05 norm: 1.1239 | dt: 26.76s | tok/sec: 19592.01
step   90 | loss: 7.196521 | lr: 7.6364e-05 norm: 1.0954 | dt: 26.76s | tok/sec: 19588.72
step   91 | loss: 7.194959 | lr: 7.7203e-05 norm: 1.3330 | dt: 26.78s | tok/sec: 19576.90
step   92 | loss: 7.157892 | lr: 7.8042e-05 norm: 1.3418 | dt: 26.75s | tok/sec: 19599.29
step   93 | loss: 7.124833 | lr: 7.8881e-05 norm: 1.4465 | dt: 26.76s | tok/sec: 19593.08
step   94 | loss: 7.094090 | lr: 7.9720e-05 norm: 0.9510 | dt: 26.75s | tok/sec: 19596.05
step   95 | loss: 7.143844 | lr: 8.0559e-05 norm: 0.9253 | dt: 26.75s | tok/sec: 19596.29
step   96 | loss: 7.199646 | lr: 8.1399e-05 norm: 1.1098 | dt: 26.78s | tok/sec: 19575.47
step   97 | loss: 7.087683 | lr: 8.2238e-05 norm: 0.9554 | dt: 26.77s | tok/sec: 19585.34
step   98 | loss: 7.080732 | lr: 8.3077e-05 norm: 1.5291 | dt: 26.76s | tok/sec: 19593.01
step   99 | loss: 7.062370 | lr: 8.3916e-05 norm: 0.8602 | dt: 26.76s | tok/sec: 19594.57
step  100 | loss: 7.013579 | lr: 8.4755e-05 norm: 0.9526 | dt: 26.79s | tok/sec: 19571.85
step  101 | loss: 6.921839 | lr: 8.5594e-05 norm: 0.8776 | dt: 26.75s | tok/sec: 19597.15
step  102 | loss: 7.000169 | lr: 8.6434e-05 norm: 0.8186 | dt: 26.76s | tok/sec: 19595.27
step  103 | loss: 6.960559 | lr: 8.7273e-05 norm: 1.4612 | dt: 26.76s | tok/sec: 19590.12
step  104 | loss: 6.973685 | lr: 8.8112e-05 norm: 1.3305 | dt: 26.75s | tok/sec: 19596.96
step  105 | loss: 6.924757 | lr: 8.8951e-05 norm: 0.9228 | dt: 26.78s | tok/sec: 19577.34
step  106 | loss: 6.908814 | lr: 8.9790e-05 norm: 0.8872 | dt: 26.77s | tok/sec: 19587.73
step  107 | loss: 6.952560 | lr: 9.0629e-05 norm: 0.9117 | dt: 26.76s | tok/sec: 19590.37
step  108 | loss: 6.891860 | lr: 9.1469e-05 norm: 0.9843 | dt: 26.75s | tok/sec: 19598.00
step  109 | loss: 6.922323 | lr: 9.2308e-05 norm: 0.8922 | dt: 26.79s | tok/sec: 19569.90
step  110 | loss: 6.828427 | lr: 9.3147e-05 norm: 1.1639 | dt: 26.76s | tok/sec: 19593.48
step  111 | loss: 6.848885 | lr: 9.3986e-05 norm: 1.3080 | dt: 26.76s | tok/sec: 19592.49
step  112 | loss: 6.851670 | lr: 9.4825e-05 norm: 1.1906 | dt: 26.75s | tok/sec: 19596.25
step  113 | loss: 6.794394 | lr: 9.5664e-05 norm: 1.3339 | dt: 26.76s | tok/sec: 19589.98
step  114 | loss: 6.815798 | lr: 9.6503e-05 norm: 1.5504 | dt: 26.79s | tok/sec: 19568.92
step  115 | loss: 6.732053 | lr: 9.7343e-05 norm: 0.5757 | dt: 26.78s | tok/sec: 19578.79
step  116 | loss: 6.840098 | lr: 9.8182e-05 norm: 0.8493 | dt: 26.75s | tok/sec: 19596.79
step  117 | loss: 6.750599 | lr: 9.9021e-05 norm: 1.2620 | dt: 26.76s | tok/sec: 19592.94
step  118 | loss: 6.861637 | lr: 9.9860e-05 norm: 1.4827 | dt: 26.79s | tok/sec: 19567.73
step  119 | loss: 6.752402 | lr: 1.0070e-04 norm: 1.2643 | dt: 26.76s | tok/sec: 19592.77
step  120 | loss: 6.788196 | lr: 1.0154e-04 norm: 0.9962 | dt: 26.76s | tok/sec: 19593.37
step  121 | loss: 6.705420 | lr: 1.0238e-04 norm: 2.1295 | dt: 26.76s | tok/sec: 19591.60
step  122 | loss: 6.679902 | lr: 1.0322e-04 norm: 1.1681 | dt: 26.75s | tok/sec: 19599.60
step  123 | loss: 6.738847 | lr: 1.0406e-04 norm: 1.0627 | dt: 26.80s | tok/sec: 19565.83
step  124 | loss: 6.726226 | lr: 1.0490e-04 norm: 1.4029 | dt: 26.79s | tok/sec: 19571.01
step  125 | loss: 6.732987 | lr: 1.0573e-04 norm: 1.1880 | dt: 26.76s | tok/sec: 19593.04
